FECHA_CORTE;ANP_CATE;ANP_CODI;ANP_NOMB;ANP_SECT;ANP_UBPO;ANP_SULEG;ANP_UICN;ANP_BALEC;ANP_FELEC;ANP_BALEM;ANP_FELEM;ANP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9;UBIGEO10;DEPARTAMENTO10;PROVINCIA10;DISTRITO10;UBIGEO11;DEPARTAMENTO11;PROVINCIA11;DISTRITO11;UBIGEO12;DEPARTAMENTO12;PROVINCIA12;DISTRITO12;UBIGEO13;DEPARTAMENTO13;PROVINCIA13;DISTRITO13;UBIGEO14;DEPARTAMENTO14;PROVINCIA14;DISTRITO14;UBIGEO15;DEPARTAMENTO15;PROVINCIA15;DISTRITO15;UBIGEO16;DEPARTAMENTO16;PROVINCIA16;DISTRITO16;UBIGEO17;DEPARTAMENTO17;PROVINCIA17;DISTRITO17;UBIGEO18;DEPARTAMENTO18;PROVINCIA18;DISTRITO18;UBIGEO19;DEPARTAMENTO19;PROVINCIA19;DISTRITO19;UBIGEO20;DEPARTAMENTO20;PROVINCIA20;DISTRITO20;UBIGEO21;DEPARTAMENTO21;PROVINCIA21;DISTRITO21;UBIGEO22;DEPARTAMENTO22;PROVINCIA22;DISTRITO22;UBIGEO23;DEPARTAMENTO23;PROVINCIA23;DISTRITO23;UBIGEO24;DEPARTAMENTO24;PROVINCIA24;DISTRITO24;UBIGEO25;DEPARTAMENTO25;PROVINCIA25;DISTRITO25;UBIGEO26;DEPARTAMENTO26;PROVINCIA26;DISTRITO26;UBIGEO27;DEPARTAMENTO27;PROVINCIA27;DISTRITO27;UBIGEO28;DEPARTAMENTO28;PROVINCIA28;DISTRITO28;UBIGEO29;DEPARTAMENTO29;PROVINCIA29;DISTRITO29;UBIGEO30;DEPARTAMENTO30;PROVINCIA30;DISTRITO30
20230906;Bosque de Protección;BP01;Aledaño a la Bocatoma del Canal Nuevo Imperial;;Lima;18.11;VI - Uso sostenible de recursos naturales;R.S. N° 0007-1980-AA/DGFF;19800519;;;168275;150508;LIMA;CAÑETE;LUNAHUANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Bosque de Protección;BP02;Puquio Santa Rosa;;La Libertad;72.50;VI - Uso sostenible de recursos naturales;R.S. N° 0434-1982-AG/DGFF;19820902;;;20180;131202;LA LIBERTAD;VIRU;CHAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Bosque de Protección;BP03;de Pui Pui;;Junín;60000.00;VI - Uso sostenible de recursos naturales;R.S. N° 0042-1985-AG/DGFF;19850131;;;20181;120605;JUNIN;SATIPO;PAMPA HERMOSA;120419;JUNIN;JAUJA;MONOBAMBA;120306;JUNIN;CHANCHAMAYO;VITOC;120305;JUNIN;CHANCHAMAYO;SAN RAMON;120303;JUNIN;CHANCHAMAYO;PICHANAQUI;120302;JUNIN;CHANCHAMAYO;PERENE;120301;JUNIN;CHANCHAMAYO;CHANCHAMAYO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Bosque de Protección;BP04;San Matias-San Carlos;;Pasco;145818.00;VI - Uso sostenible de recursos naturales;R.S. N° 0101-1987-AG/DGFF;19870320;;;20182;190306;PASCO;OXAPAMPA;PUERTO BERMUDEZ;190307;PASCO;OXAPAMPA;VILLA RICA;190308;PASCO;OXAPAMPA;CONSTITUCION;190304;PASCO;OXAPAMPA;PALCAZU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Bosque de Protección;BP05;de Pagaibamba;;Cajamarca;2078.38;VI - Uso sostenible de recursos naturales;R.S. N° 0222-1987-AG/DGFF;19870619;;;20184;60415;CAJAMARCA;CHOTA;QUEROCOTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Bosque de Protección;BP06;Alto Mayo;;San Martín;182000.00;VI - Uso sostenible de recursos naturales;R.S. N° 0293-1987-AG/DGFF;19870723;;;20183;220801;SAN MARTIN;RIOJA;RIOJA;220803;SAN MARTIN;RIOJA;ELIAS SOPLIN VARGAS;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;220805;SAN MARTIN;RIOJA;PARDO MIGUEL;220802;SAN MARTIN;RIOJA;AWAJUN;220101;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Coto de Caza;CC01;El Angolo;;Piura;65000.00;VI - Uso sostenible de recursos naturales;R.S. N° 0264-1975-AG;19750701;;;30061;200604;PIURA;SULLANA;LANCONES;200701;PIURA;TALARA;PARIÑAS;200605;PIURA;SULLANA;MARCAVELICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Coto de Caza;CC02;Sunchubamba;;Cajamarca  y la Libertad;59735.00;VI - Uso sostenible de recursos naturales;R.M. N° 00462-1977-AG;19770422;;;CC 02;60104;CAJAMARCA;CAJAMARCA;COSPAN;60106;CAJAMARCA;CAJAMARCA;JESUS;60112;CAJAMARCA;CAJAMARCA;SAN JUAN;60102;CAJAMARCA;CAJAMARCA;ASUNCION;131104;LA LIBERTAD;GRAN CHIMU;SAYAPULLO;60202;CAJAMARCA;CAJABAMBA;CACHACHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Parque Nacional;PN01;de Cutervo;Sector Sur;Cajamarca;5784.69;II - Protección de Ecosistemas y Recreación;LEY N° 13694;19610908;LEY N° 28860;20060803;261;60602;CAJAMARCA;CUTERVO;CALLAYUC;60606;CAJAMARCA;CUTERVO;PIMPINGOS;60608;CAJAMARCA;CUTERVO;SAN ANDRES DE CUTERVO;60608;CAJAMARCA;CUTERVO;SAN ANDRES DE CUTERVO;60612;CAJAMARCA;CUTERVO;SANTO DOMINGO DE LA CAPILLA;60613;CAJAMARCA;CUTERVO;SANTO TOMAS;60613;CAJAMARCA;CUTERVO;SANTO TOMAS;60611;CAJAMARCA;CUTERVO;SANTA CRUZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Parque Nacional;PN02;de Tingo María;;Huánuco;4777.00;II - Protección de Ecosistemas y Recreación;LEY N° 15574;19650514;;;260;100606;HUANUCO;LEONCIO PRADO;MARIANO DAMASO BERAUN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
